name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,203,41415.0273,,2.926313333,41412.10099,41417.95361,2,438.947,116.3973684,39.84443103,8.77894
,204,41456.5496,,2.168153333,41454.38145,41458.71775,2,325.223,116.3978578,39.84447255,6.50446
,205,41503.7092,,2.592296667,41501.1169,41506.3015,1,777.689,116.3987385,39.84451971,7.77689
,206,41529.8366,,0.118525333,41529.71807,41529.95513,2,17.7788,116.3971477,39.84454584,0.355576
,207,41532.642,,0.12569,41532.51631,41532.76769,2,18.8535,116.3971822,39.84454864,0.37707
,208,41535.982,,0.137843333,41535.84416,41536.11984,2,20.6765,116.3972192,39.84455198,0.41353
,209,41539.4754,,0.134627333,41539.34077,41539.61003,2,20.1941,116.3972573,39.84455548,0.403882
,210,41542.8752,,0.153944,41542.72126,41543.02914,2,23.0916,116.3972978,39.84455888,0.461832
,211,41545.85,,0.129919333,41545.72008,41545.97992,2,19.4879,116.3973376,39.84456185,0.389758
,212,41548.5271,,0.12185,41548.40525,41548.64895,2,18.2775,116.3973727,39.84456453,0.36555
,213,41551.1942,,0.124438,41551.06976,41551.31864,2,18.6657,116.397407,39.84456719,0.373314
,214,41553.423,,0.118007333,41553.30499,41553.54101,2,17.7011,116.3974408,39.84456942,0.354022
,215,41555.723,,0.127347333,41555.59565,41555.85035,2,19.1021,116.397475,39.84457172,0.382042
,216,41558.2319,,0.118577333,41558.11332,41558.35048,2,17.7866,116.3975093,39.84457423,0.355732
,217,41562.3187,,0.114718,41562.20398,41562.43342,2,17.2077,116.3975421,39.84457832,0.344154
,218,41575.4779,,3.063606667,41572.41429,41578.54151,2,459.541,116.3973393,39.84459148,9.19082
,219,41591.429,,12.71526667,41578.71373,41604.14427,2,1907.29,116.3914339,39.84460743,38.1458
,220,41609.7773,,2.93364,41606.84366,41612.71094,2,440.046,116.3978413,39.84462578,8.80092
,221,41626.273,,2.359886667,41623.91311,41628.63289,1,707.966,116.3984248,39.84464227,7.07966
,222,41634.8705,,23.0174,41611.8531,41657.8879,6,1150.87,116.386967,39.84465087,69.0522
,223,41669.4109,,20.34343333,41649.06747,41689.75433,1,6103.03,116.3894197,39.84468541,61.0303
,224,41686.2302,,1.668143333,41684.56206,41687.89834,1,500.443,116.3990164,39.84470223,5.00443
,225,41749.2079,,3.328506667,41745.87939,41752.53641,2,499.276,116.3973173,39.84476521,9.98552
,226,41784.3162,,19.435,41764.8812,41803.7512,3,1943.5,116.3862992,39.84480032,58.305
,227,41786.2713,,4.66026,41781.61104,41790.93156,2,699.039,116.3979197,39.84480227,13.98078
,228,41798.5277,,9.761733333,41788.76597,41808.28943,1,2928.52,116.3886929,39.84481453,29.2852
,229,41810.3808,,5.550446667,41804.83035,41815.93125,2,832.567,116.3993683,39.84482638,16.65134
,230,41829.9515,,5.777626667,41824.17387,41835.72913,2,866.644,116.3986081,39.84484595,17.33288
,231,41911.0419,,34.1075,41876.9344,41945.1494,5,2046.45,116.3966578,39.84492704,102.3225
,232,41915.1523,,3.370406667,41911.78189,41918.52271,2,505.561,116.3972928,39.84493115,10.11122
,233,41960.9013,,3.916593333,41956.98471,41964.81789,2,587.489,116.3978923,39.8449769,11.74978
,234,41962.8692,,21.63,41941.2392,41984.4992,6,1081.5,116.3869597,39.84497887,64.89
,235,41986.5,,3.34238,41983.15762,41989.84238,2,501.357,116.3990691,39.8450025,10.02714
,236,42016.8054,,4.568806667,42012.23659,42021.37421,2,685.321,116.398572,39.84503281,13.70642
,237,42081.35,,3.04604,42078.30396,42084.39604,2,456.906,116.3972688,39.84509735,9.13812
,238,42132.5231,,4.062226667,42128.46087,42136.58533,2,609.334,116.3978781,39.84514852,12.18668
,239,42188.1,,4.781266667,42183.31873,42192.88127,2,717.19,116.3985548,39.8452041,14.3438
,240,42272.8571,,0.258461333,42272.59864,42273.11556,2,38.7692,116.3991837,39.84528886,0.775384
,241,42273.6779,,4.025546667,42269.65235,42277.70345,2,603.832,116.3972499,39.84528968,12.07664
,242,42316.8778,,0.54503,42316.33277,42317.42283,1,163.509,116.3980423,39.84533288,1.63509
,243,42342.2386,,9.60212,42332.63648,42351.84072,6,480.106,116.386732,39.84535824,28.80636
,244,42360.9801,,2.175186667,42358.80491,42363.15529,1,652.556,116.3985803,39.84537698,6.52556
,245,42430.4267,,37.98048,42392.44622,42468.40718,18,633.008,116.3899422,39.84544643,113.94144
大红门国际会议中心,246,42453.0896,,61.0425,42392.0471,42514.1321,5,3662.55,116.3964575,39.84546909,183.1275
,247,42455.18,,3.563233333,42451.61677,42458.74323,2,534.485,116.3972132,39.84547118,10.6897
,248,42470.7299,,31.744,42438.9859,42502.4739,4,2380.8,116.3929398,39.84548673,95.232
,249,42481.2,,1.225526667,42479.97447,42482.42553,1,367.658,116.3980151,39.8454972,3.67658
,250,42487.9868,,1.79271,42486.19409,42489.77951,1,537.813,116.3986705,39.84550399,5.37813
,251,42603.3638,,11.89273333,42591.47107,42615.25653,2,1783.91,116.3968367,39.84561936,35.6782
